date,no3_mgL,q_Ls
4/1/2017,0.49,5743.698797
4/1/2017,0.47,5747.168589
5/1/2017,0.99,2056.741539
5/1/2017,0.98,2056.772196
5/1/2017,0.98,2056.790079
5/1/2017,1.01,2059.429155
5/1/2017,1.01,2105.205488
5/1/2017,0.99,2105.841625
5/1/2017,1,2106.099657
5/1/2017,0.87,2293.484226
5/1/2017,0.86,2297.773682
5/1/2017,0.86,2298.077699
5/1/2017,0.86,2298.108357
5/1/2017,0.82,2298.162007
5/1/2017,0.79,2304.370093
5/1/2017,0.78,2304.40586
5/1/2017,0.78,2304.416079
5/1/2017,0.76,2305.598936
5/1/2017,0.74,2356.037721
5/1/2017,0.73,2356.758166
5/1/2017,0.71,2368.757911
5/1/2017,0.7,2368.793678
5/1/2017,0.69,2371.077641
5/1/2017,0.65,2467.101151
5/1/2017,0.61,2485.996215
5/1/2017,0.57,2549.638042
5/1/2017,0.52,2560.102371
6/1/2017,0.57,3369.39291
6/1/2017,0.57,3369.426393
6/1/2017,0.57,3369.455689
6/1/2017,0.72,3373.063392
6/1/2017,0.64,3448.57402
6/1/2017,0.55,3449.775193
6/1/2017,0.57,3450.453206
6/1/2017,0.5,3757.099518
6/1/2017,0.53,3764.134956
6/1/2017,0.53,3764.27307
6/1/2017,0.54,3764.658114
6/1/2017,0.61,3764.704152
6/1/2017,0.55,3765.771396
6/1/2017,0.69,3775.0041
6/1/2017,0.56,3775.041768
6/1/2017,0.59,3855.809095
6/1/2017,0.59,3859.839509
6/1/2017,0.59,3880.544036
6/1/2017,0.63,3883.620209
6/1/2017,0.57,4044.288513
6/1/2017,0.54,4167.858589
6/1/2017,0.56,4182.959041
6/1/2017,0.56,4184.10999
6/1/2017,0.57,4191.476064
